S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,3,86,0,0,0,0,0,0,100,0,2
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,4,120,0,0,0,2,0,0,80,1,1
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,1,65,0,0,0,1,0,0,100,0,1
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,6,88,0,0,0,1,0,0,66.7,1,1
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,1,3,0,0,0,0,0,0,100,0,0
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,16,1033,0,0,0,2,0,0,62.5,6,8
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,32,2842,6,1,7,4,0,0,31.3,33,23
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,12,855,0,0,0,2,0,0,59.1,9,6
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,25,1393,5,2,7,2,0,1,65.1,15,14
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,4,205,0,1,1,0,0,0,100,0,2
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,35,2074,2,0,2,3,0,0,61.9,24,25
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,7,263,0,0,0,1,0,0,100,0,3
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,1,7,0,0,0,0,0,0,,0,1
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,34,2768,9,2,11,3,0,0,33.3,6,14
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,19,1090,1,1,2,1,0,0,65.6,11,13
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,26,1901,7,2,9,4,0,0,17.4,19,15
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,29,2463,0,1,1,13,0,0,58.8,14,10
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,1,1,0,0,0,0,0,0,0,1,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,28,1183,3,4,7,1,0,0,75,2,13
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,1,5,0,0,0,0,0,0,,0,0
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,23,1710,0,1,1,0,0,0,64.7,6,6
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,4,170,0,0,0,1,0,0,100,0,1
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,4,134,0,0,0,0,0,0,,0,1
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,15,1075,3,1,4,2,0,0,75,1,1
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,36,2652,9,3,12,2,0,0,14.3,6,7
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,28,1965,0,3,3,7,0,0,54.2,33,23
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,25,1545,2,2,4,5,1,0,27.3,8,14
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,22,1409,1,1,2,4,0,0,66.7,4,2
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,1,26,0,0,0,0,0,0,50,1,0
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,25,1433,7,6,13,4,0,0,40,12,13
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,29,1097,2,2,4,0,0,0,38.5,16,12
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,20,766,2,0,2,3,0,0,36.4,7,11
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,25,1219,4,6,10,3,1,2,43.6,22,12
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19,1710,0,0,0,3,0,0,0,3,0
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,1,1,0,0,0,1,0,0,,0,0
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,2006,6,42,0,0,0,0,0,0,0,1,0
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,14,724,0,0,0,2,0,1,71.4,4,3
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,32,1639,3,1,4,3,0,0,36.8,12,16
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,16,1410,1,0,1,3,0,1,65,7,6
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14,1260,0,0,0,3,0,1,73.1,7,9
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,2,6,0,0,0,0,0,0,,0,0
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,8,300,1,0,1,1,0,0,42.9,4,1
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,14,1206,0,0,0,1,1,0,0,1,0
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,35,2114,1,3,4,5,1,0,69.2,12,19
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,22,1751,3,0,3,1,0,0,52.2,11,18
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,16,443,0,1,1,3,0,1,33.3,6,6
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,2,5,0,0,0,0,0,0,,0,0
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,21,1760,0,0,0,5,0,0,66.7,6,6
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,16,1124,1,2,3,4,0,0,61.5,15,22
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,3,58,0,0,0,0,0,0,,0,0
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,6,270,0,0,0,0,0,0,70,3,4
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,5,43,0,0,0,0,0,0,,0,1
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,26,1959,2,0,2,7,0,0,45.8,26,20
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,8,583,0,0,0,0,0,0,66.7,1,4
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,1,2,0,0,0,0,0,0,,0,0
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,2005,5,127,0,0,0,0,0,0,100,0,1
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,35,2995,2,1,3,5,0,0,56.3,28,22
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,37,3109,4,7,11,7,1,0,61.4,27,36
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,2,13,0,0,0,0,0,0,,0,0
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,24,1438,0,0,0,5,0,0,51.9,13,13
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,31,2495,13,2,15,5,0,0,31.3,22,15
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,26,2014,0,0,0,3,0,0,64.7,6,3
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,9,500,0,0,0,2,0,0,41.7,7,2
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,10,678,0,0,0,0,0,0,66.7,2,5
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,11,584,1,0,1,1,0,0,50,6,8
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,30,2523,2,3,5,5,0,1,61.1,14,17
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,32,2406,5,10,15,2,0,2,46.3,22,21
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,2,19,0,0,0,1,0,0,,0,0
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,31,2486,0,1,1,7,0,0,67.4,15,24
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,14,966,0,0,0,4,0,0,42.9,12,13
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,4,45,0,0,0,0,0,0,0,1,0
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,32,2220,0,0,0,3,0,0,65.2,16,28
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,14,639,3,1,4,0,0,0,33.3,4,9
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,7,317,0,0,0,1,0,0,,0,0
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,3,160,0,0,0,0,0,0,66.7,2,2
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,14,62,1,0,1,0,0,0,0,1,0
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,15,1188,0,0,0,5,0,0,60,4,1
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,1,10,0,0,0,0,0,0,,0,0
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,15,764,2,3,5,4,0,1,27.3,8,7
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,34,2971,1,0,1,8,0,7,66.7,10,16
81,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,10,452,0,0,0,1,0,0,30.8,9,8
82,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,14,1090,0,2,2,1,0,1,41.2,10,11
83,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,2,91,0,0,0,1,0,0,,0,0
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,33,2365,3,6,9,5,0,3,46.7,56,17
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,26,1371,5,2,7,1,1,0,33.3,8,8
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,27,1621,3,4,7,2,0,0,33.3,8,16
87,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,3,71,0,0,0,0,0,0,,0,1
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,28,2508,0,0,0,0,0,0,0,1,0
89,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,1,2,0,0,0,1,0,0,,0,0
90,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,28,1750,1,3,4,3,0,0,17.9,23,10
91,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,1,9,0,0,0,0,1,0,,0,0
92,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,16,951,1,4,5,3,0,1,33.3,14,2
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,34,1977,0,4,4,2,0,2,35.9,25,18
94,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,2,48,0,1,1,0,0,0,0,1,1
95,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,9,157,0,0,0,0,0,0,66.7,1,2
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,29,1112,1,1,2,5,0,0,47.1,9,13
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,31,2647,3,0,3,10,2,7,56.8,19,15
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,12,753,0,0,0,2,0,0,53.3,7,10
99,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,22,1630,0,0,0,6,0,0,60,16,9
100,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,32,1972,0,1,1,4,0,0,60,24,27
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,1,2,0,0,0,0,0,0,100,0,0
102,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,28,1772,0,1,1,9,1,0,48.6,18,15
103,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,26,1572,4,3,7,6,0,1,52.6,9,17
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,37,2509,17,4,21,5,0,5,26.7,22,14
105,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,21,1781,1,0,1,4,0,0,68.2,7,4
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,12,236,0,0,0,1,0,0,80,1,4
107,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,1,1,0,0,0,0,0,0,,0,0
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,24,1376,3,1,4,6,0,1,55.6,8,22
109,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,5,346,0,0,0,0,0,0,25,6,10
110,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,13,375,0,1,1,1,0,0,12.5,7,6
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,11,790,0,0,0,2,0,1,71.4,6,8
112,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,8,96,0,0,0,1,0,0,,0,0
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,30,2165,1,0,1,5,0,0,82.9,6,7
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,30,2437,1,3,4,3,0,2,69.6,14,13
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,30,2473,7,5,12,9,2,10,41.3,27,15
116,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,2,28,0,0,0,1,0,0,100,0,0
117,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,9,320,2,0,2,0,0,0,22.2,7,3
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,1,8,0,0,0,0,0,0,,0,0
119,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,17,859,0,0,0,2,0,0,52.6,9,10
120,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,31,2467,10,9,19,6,0,0,37.8,23,40
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2,180,0,0,0,0,0,0,100,0,0
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1,90,0,0,0,1,0,0,50,1,0
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,29,2583,0,0,0,6,1,0,62.5,9,9
124,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,37,2728,2,6,8,10,0,0,43.2,63,39
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,33,2472,0,0,0,7,0,0,58.7,26,34
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,30,2692,0,3,3,12,0,0,56.3,42,36
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,22,1188,1,2,3,5,0,0,38.5,8,16
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,23,1598,2,2,4,7,0,0,50,7,8
129,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,38,3177,2,1,3,1,0,0,50,17,24
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,1,6,0,0,0,0,0,0,,0,0
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,22,1114,2,3,5,3,0,1,50,9,15
132,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,26,1949,2,2,4,4,0,0,73.9,6,17
133,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,2,28,0,0,0,0,0,0,,0,0
134,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,2008,3,139,0,0,0,0,0,0,33.3,2,3
135,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,1990,14,836,1,1,2,1,0,0,66.7,1,6
136,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,2002,26,1022,0,1,1,3,0,0,42.9,12,12
137,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,2000,8,141,0,0,0,0,0,0,40,3,2
138,Antony,br BRA,FW,Betis,es La Liga,24,2000,17,1362,5,2,7,2,1,1,36.4,14,11
139,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,26,1720,2,0,2,7,0,0,53.6,13,16
140,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,29,2128,0,1,1,2,0,0,57.7,30,28
141,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2,177,0,0,0,0,0,0,100,0,0
142,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,35,2661,10,0,10,10,0,1,45.8,26,29
143,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,35,2460,1,1,2,8,0,0,66,34,32
144,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,12,497,0,0,0,2,0,0,41.7,7,3
145,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,12,754,1,1,2,3,0,0,80,1,2
146,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,35,1441,2,0,2,0,0,0,22.2,7,4
147,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,28,2047,0,1,1,3,0,0,60.7,22,20
148,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,26,2260,0,0,0,0,0,0,66.7,1,0
149,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,2001,1,19,0,0,0,0,0,0,0,1,0
150,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,36,3079,0,3,3,9,0,0,69.6,17,22
151,David Argüelles,es ESP,MF,Getafe,es La Liga,22,2002,1,7,0,0,0,0,0,0,,0,2
152,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,1996,32,2013,3,0,3,1,0,0,48.6,18,17
153,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,20,1248,2,2,4,4,0,0,21.4,11,5
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,3,48,0,0,0,1,0,0,0,1,0
155,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,1995,15,133,0,0,0,0,0,2,57.1,3,2
156,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,2003,25,1755,5,3,8,3,0,2,48.5,17,8
157,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,17,527,4,2,6,1,0,0,60,2,3
158,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,1994,28,2356,3,5,8,7,1,9,45.5,18,10
159,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,2000,23,713,2,0,2,8,1,3,30.8,9,6
160,Sergio Arribas,es ESP,DF,Betis,es La Liga,21,2003,1,90,0,0,0,0,0,0,85.7,1,0
161,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31,2790,0,0,0,3,0,0,0,2,2
162,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21,2003,20,752,0,1,1,1,0,0,50,5,8
163,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,1994,21,1054,2,1,3,0,0,0,54.5,5,7
164,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,2003,23,1670,0,1,1,3,0,0,76.9,3,5
165,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,1996,13,743,3,1,4,2,0,1,33.3,6,6
166,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,1996,12,618,2,4,6,0,0,2,0,6,1
167,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22,2002,21,980,2,2,4,4,0,2,36.4,14,7
168,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,1987,30,1745,10,5,15,6,1,3,40,12,17
169,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20,2003,27,1405,3,1,4,2,0,2,34.8,15,14
170,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24,2000,32,2357,3,4,7,9,0,0,44.2,24,17
171,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,2005,12,98,0,0,0,0,0,0,80,1,1
172,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18,2005,34,2854,1,0,1,7,0,0,73.7,10,16
173,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,2003,27,1251,0,1,1,5,0,0,66.7,5,4
174,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,26,2307,0,0,0,2,0,0,,0,0
175,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,720,0,0,0,0,0,0,0,1,0
176,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29,1994,38,2713,0,7,7,3,0,0,69.8,13,15
177,Carlos Augusto,br BRA,DF,Inter,it Serie A,25,1999,28,1625,3,2,5,1,0,0,63.2,7,12
178,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23,2000,26,1553,3,2,5,4,0,0,68.8,5,11
179,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1,90,0,0,0,0,0,0,,0,0
180,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30,1994,19,677,2,0,2,5,1,0,40,6,4
181,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26,1997,26,416,1,0,1,0,0,0,80,1,1
182,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20,2003,34,1965,2,1,3,3,0,2,46.4,30,18
183,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,1997,26,575,2,0,2,0,0,0,0,2,7
184,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,1989,27,1453,4,1,5,2,0,2,53.8,6,7
185,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32,1991,1,21,0,0,0,1,0,0,,0,0
186,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,32,1991,30,1638,5,0,5,5,0,4,30.4,16,19
187,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23,2001,24,1588,8,1,9,4,0,1,35.3,22,26
188,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23,2001,1,24,0,0,0,1,0,0,,0,0
189,Adam Aznou,ma MAR,DF,Valladolid,es La Liga,18,2006,13,876,0,0,0,1,0,0,48.8,22,16
190,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18,2006,2,17,0,0,0,0,0,0,,0,0
191,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34,1989,14,875,1,0,1,1,0,0,73.9,6,8
192,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30,1994,6,426,0,0,0,2,0,0,55.6,4,3
193,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23,2001,2,19,0,0,0,0,0,0,,0,0
194,Papa Ba,es ESP,MF,Girona,es La Liga,19,2004,1,48,0,0,0,0,0,0,,0,1
195,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24,2000,30,1186,4,2,6,2,0,0,47.6,11,14
196,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19,2005,3,31,0,0,0,0,0,0,100,0,0
197,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,21,2002,5,91,0,0,0,1,0,0,,0,2
198,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24,2000,32,2686,1,1,2,7,1,0,74.2,8,9
199,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35,1989,23,1472,1,0,1,2,0,0,42.9,20,12
200,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23,2001,5,334,0,0,0,0,0,0,80,1,0
201,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23,2001,32,2595,7,9,16,9,0,8,25.6,29,27
202,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18,2006,12,864,0,0,0,1,0,0,60,2,7
203,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18,2006,10,686,0,0,0,2,0,0,71.4,2,3
204,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,26,1997,24,1139,1,2,3,3,0,2,27.3,8,6
205,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30,1994,12,617,0,0,0,2,1,0,75,1,6
206,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,24,1999,29,939,2,1,3,1,0,0,0,2,4
207,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,19,2004,14,969,1,0,1,4,0,0,42.9,16,21
208,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33,1991,25,710,2,2,4,4,0,0,42.9,4,11
209,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24,2000,1,22,0,0,0,0,0,0,100,0,0
210,Mitchel Bakker,nl NED,"FW,DF",Lille,fr Ligue 1,24,2000,24,1139,3,2,5,3,1,5,52.6,9,9
211,Darryl Bakola,fr FRA,"DF,MF",Marseille,fr Ligue 1,16,2007,2,14,0,0,0,1,0,0,,0,0
212,Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1998,15,1170,2,1,3,2,0,0,42.1,11,21
213,Ridle Baku,de GER,"DF,MF",RB Leipzig,de Bundesliga,26,1998,19,1275,2,3,5,1,0,0,39.1,14,16
214,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21,2002,30,2497,6,8,14,4,0,6,50,12,20
215,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,21,2003,31,832,1,1,2,2,0,0,33.3,8,4
216,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20,2003,32,2284,0,4,4,2,0,0,64.7,6,19
217,Keita Baldé,sn SEN,FW,Monza,it Serie A,29,1995,11,638,2,0,2,2,0,0,50,1,4
218,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20,2004,34,2661,3,1,4,8,1,1,60,32,36
219,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25,1999,27,2273,0,0,0,9,1,0,57.4,20,11
220,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32,1992,25,1200,0,0,0,3,0,0,33.3,12,12
221,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,fr Ligue 1,27,1997,10,589,0,0,0,0,0,0,55.6,4,5
222,Botond Balogh,hu HUN,DF,Parma,it Serie A,22,2002,29,2053,0,1,1,5,0,0,71.4,8,8
223,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23,2001,13,615,4,0,4,0,0,0,0,4,0
